address,weighted_balance_wei,weighted_balance,share_pct
0xB89104494ee506164AE0AcAAF636b6FE74855Fee,1031837336192118796806,1031.837336192118796806,0.045191
0x0a27013A799e2d599e8aa60333Ff631D1B36D533,1002165046510000000000,1002.16504651,0.043891
0xA71B272556c04106FE9C65166e17dF7f2f1fAEfe,884900150800515911311,884.900150800515911311,0.038756
0x40c5147A4CaBa10628241EAc43E5220d8014d9A2,822542915065055922269,822.542915065055922269,0.036025
0xb84212f378bfb4C552899F2580a2b43a9241b651,799780681838791737072,799.780681838791737072,0.035028
0x0a854Bd5daa8d3959ac2B453E51AE4f2e5F6f4e0,767512345999399766707,767.512345999399766707,0.033614
0x2C4E1E7251470D5731Dc7c6290bEFbAcf91c1F80,764493274125891512011,764.493274125891512011,0.033482
0x93458247542AEd79Fb57e06c57f70Cda09aD345A,759721376710095016994,759.721376710095016994,0.033273
0x138dF85038d8E72a391DA7c686F95D9fE2e0C9F9,757614682280373486480,757.61468228037348648,0.033181
0x7759493614f617d56b3593513e0c3E1A92aB996C,756006263555446429526,756.006263555446429526,0.033110
0xa7C7C75500760cD2521Ee5D502C4eee141a13450,754001003766078052384,754.001003766078052384,0.033023
0x788150E449486054C1018f64C778468180927dAd,743325297548019618522,743.325297548019618522,0.032555
0xD6724e11d3a96ae85CEf5fB8A55a5b04EE29Fa65,733205605143920377189,733.205605143920377189,0.032112
0xa2227fc84a5B59baBbA840B0CCc89CC796f06A58,729808935053283956976,729.808935053283956976,0.031963
0x083203F1d4dbaB71e23b6B0298df2A7185440F46,722503109282385152800,722.5031092823851528,0.031643
0x0397D4A6f9078884a1815f9dbE1e3fDcCfdc4C50,699748304355552851419,699.748304355552851419,0.030647
0xDB60b36688df7AB9444f32DdE2d8CEAC4b0040E1,691604667933564176355,691.604667933564176355,0.030290
0x13cbd624Af484c4C695ff0E1d0B7e125d45F2C76,678514603744034903085,678.514603744034903085,0.029717
0xA6a7a63F9EE0AC6e7f6bf8756C83e707AE4E43CC,676391301208907931688,676.391301208907931688,0.029624
0x64093c9ED791D32adb7faD1a8BF877b7A5f0d0c8,653847234593599501988,653.847234593599501988,0.028636
0x331B833Ff3B018b9d0e647b2bf3f39563FD84c8a,586720979060828449091,586.720979060828449091,0.025696
0x21b46688692b680acc10Ed55c6806796282422aB,575669108491624439516,575.669108491624439516,0.025212
0x55D8bA4008185bFCfc2051860745D09688DdEBc3,571403038565530635245,571.403038565530635245,0.025025
0x41d9Ed9D7A1B176B2cc3b9408157aB84c597b0DB,561331104567092746100,561.3311045670927461,0.024584
0x0E7aF95de26BF10E6B9f00D846C22757aa582B9C,555330637872996407296,555.330637872996407296,0.024322
0x3b0680262Fe732A34e237f5Ae64c9D12125baAFf,511686854642446269895,511.686854642446269895,0.022410
0x70cF790379467Ad9B5FE7F482DbC2E761de38677,500000000000000000000,500,0.021898
0xB05a80EE2f26575DA3f51aECEaD85127cAbcb98C,480000000000000000000,480,0.021022
0x1247F0cb8F7B0e2eDfa9750df07417D17b5127d6,479712779895989868756,479.712779895989868756,0.021010
0x0143Bd780dab8a7302141C3fDB8EbaDE1FB56f92,475216811520595038024,475.216811520595038024,0.020813
0xc7e6DA4D1373BABa0033A9799470b3B4900f338C,454119722418334800922,454.119722418334800922,0.019889
0xb758Deab675632f3C4853b938C937d6638f81Ea9,439264829302345803801,439.264829302345803801,0.019238
0xBA63d47ce22DCd70476f81f3b5420df17c71fABb,424738559242052628881,424.738559242052628881,0.018602
0x10a6f67410f0A8a854d7C63784B7f8dae8dc4d17,422171911905123697685,422.171911905123697685,0.018490
0x09Da48D7FDbE6085874aa297Cf09382ff870B774,398150541306816625384,398.150541306816625384,0.017438
